Date,Open,High,Low,Close,Adj Close,Volume
2018-05-02,284.649994,284.649994,275.500000,277.100006,272.813568,561434
2018-05-03,278.000000,283.450012,277.799988,281.799988,277.440826,650192
2018-05-04,280.500000,285.500000,278.450012,282.899994,278.523834,526569
2018-05-07,284.350006,292.000000,282.950012,289.399994,284.923279,764190
2018-05-08,302.500000,314.500000,300.000000,309.250000,304.466248,3804589
2018-05-09,306.799988,309.700012,304.399994,307.100006,302.349518,893093
2018-05-10,309.200012,313.000000,305.799988,307.000000,302.251038,1141372
2018-05-11,307.000000,312.000000,307.000000,311.100006,306.287598,554143
2018-05-14,310.399994,311.100006,305.250000,309.950012,305.155426,362302
2018-05-15,309.700012,317.350006,305.500000,308.000000,303.235565,877639
2018-05-16,305.000000,305.000000,295.549988,297.899994,293.291809,764405
2018-05-17,298.250000,299.649994,294.549988,295.899994,291.322754,464701
2018-05-18,295.899994,295.899994,284.899994,286.399994,281.969696,546452
2018-05-21,287.500000,293.000000,287.500000,289.649994,285.169434,416007
2018-05-22,288.549988,293.799988,287.000000,290.750000,286.252411,313391
2018-05-23,289.399994,298.200012,288.000000,291.700012,287.187744,408065
2018-05-24,293.000000,299.000000,291.500000,297.250000,292.651855,499677
2018-05-25,297.500000,300.899994,295.000000,296.500000,291.913452,557011
2018-05-28,294.149994,302.250000,293.049988,299.250000,294.620911,643575
2018-05-29,299.000000,300.000000,289.000000,290.649994,286.153961,578232
2018-05-30,287.000000,288.100006,283.100006,285.250000,280.837524,603457
2018-05-31,284.100006,287.899994,279.350006,285.600006,281.182098,798597
2018-06-01,291.049988,299.799988,287.149994,289.500000,285.021759,1317080
2018-06-04,293.750000,294.000000,285.549988,286.200012,281.772797,2639363
2018-06-05,287.500000,289.500000,283.100006,283.899994,279.508392,341788
2018-06-06,284.799988,286.649994,281.200012,283.799988,279.409912,589891
2018-06-07,287.399994,292.700012,286.799988,290.950012,286.449341,618631
2018-06-08,292.000000,292.000000,285.500000,288.299988,283.840332,552714
2018-06-11,285.000000,290.100006,283.200012,286.750000,282.314301,813476
2018-06-12,287.149994,289.149994,285.350006,287.250000,282.806580,914078
2018-06-13,290.000000,292.750000,286.350006,290.799988,286.301636,837243
2018-06-14,291.500000,291.500000,284.149994,284.649994,280.246765,536830
2018-06-15,287.000000,288.500000,280.100006,282.299988,277.933136,628753
2018-06-18,284.950012,293.899994,283.500000,292.500000,287.975342,1265708
2018-06-19,296.549988,296.549988,288.500000,292.000000,287.483093,1343476
2018-06-20,292.000000,294.350006,291.049988,293.250000,288.713715,758667
2018-06-21,293.649994,300.250000,293.649994,297.549988,292.947205,877350
2018-06-22,298.100006,302.700012,295.500000,300.850006,296.196198,788342
2018-06-25,299.899994,300.200012,288.450012,289.450012,284.972534,1722515
2018-06-26,287.399994,288.799988,284.750000,288.000000,283.544952,587201
2018-06-27,288.500000,288.500000,273.799988,278.899994,274.585724,985224
2018-06-28,278.799988,278.799988,268.299988,271.149994,266.955627,2296370
2018-06-29,272.000000,276.000000,269.700012,275.500000,271.238312,1165082
2018-07-02,275.000000,279.950012,271.200012,277.450012,273.158203,6089708
2018-07-03,275.000000,276.649994,272.399994,272.950012,268.727783,507326
2018-07-04,273.149994,274.450012,271.000000,273.200012,268.973938,351119
2018-07-05,273.500000,275.350006,270.750000,271.600006,267.398651,325420
2018-07-06,270.149994,271.950012,267.049988,270.000000,265.823364,1900946
2018-07-09,272.100006,274.350006,270.149994,271.250000,267.054047,513734
2018-07-10,272.000000,275.850006,272.000000,273.399994,269.170776,1687978
2018-07-11,275.000000,277.000000,267.500000,268.850006,264.691193,665879
2018-07-12,271.000000,273.649994,269.450012,272.399994,268.186279,2584914
2018-07-13,272.399994,273.299988,266.200012,268.049988,263.903564,766377
2018-07-16,266.700012,266.950012,256.500000,259.299988,255.288925,918495
2018-07-17,260.950012,267.350006,260.049988,266.299988,262.180603,784018
2018-07-18,266.750000,267.100006,261.149994,262.600006,258.537842,1792519
2018-07-19,262.500000,264.399994,259.500000,261.200012,257.159515,542091
2018-07-20,261.950012,267.600006,261.950012,266.000000,261.885284,4256171
2018-07-23,265.000000,275.700012,265.000000,274.850006,272.132965,473835
2018-07-24,274.899994,277.850006,273.250000,274.500000,273.277832,362077
2018-07-25,274.049988,276.549988,272.450012,274.600006,273.377380,319308
2018-07-26,275.000000,286.399994,273.200012,285.799988,284.527496,2266110
2018-07-27,285.000000,294.899994,282.500000,293.299988,291.994110,1134975
2018-07-30,298.200012,308.350006,294.500000,307.250000,305.882019,2931402
2018-07-31,306.700012,308.299988,302.250000,303.950012,302.596710,860279
2018-08-01,302.000000,305.399994,296.299988,299.049988,297.718506,421412
2018-08-02,296.100006,300.549988,294.049988,297.850006,296.523865,962691
2018-08-03,300.000000,306.649994,297.799988,304.799988,303.442902,4618326
2018-08-06,311.000000,317.799988,307.000000,315.049988,313.647278,2878151
2018-08-07,315.149994,318.000000,310.500000,313.100006,311.705963,858817
2018-08-08,313.100006,319.649994,308.350006,318.200012,316.783264,861113
2018-08-09,320.000000,345.500000,319.600006,332.950012,331.467590,3378382
2018-08-10,333.049988,339.750000,325.450012,328.149994,326.688965,1331791
2018-08-13,322.000000,327.350006,321.950012,325.250000,323.801880,624199
2018-08-14,324.600006,333.500000,324.600006,332.299988,330.820465,684325
2018-08-16,330.899994,339.149994,328.850006,334.450012,332.960938,1073572
2018-08-17,336.549988,342.299988,336.000000,340.049988,338.535980,852257
2018-08-20,341.000000,342.350006,337.000000,338.350006,336.843567,566096
2018-08-21,338.350006,341.600006,334.049988,338.899994,337.391083,661042
2018-08-23,337.899994,338.700012,334.899994,336.899994,335.399994,1930659
2018-08-24,335.799988,335.799988,327.450012,330.100006,330.100006,995390
2018-08-27,331.250000,342.049988,331.250000,339.899994,339.899994,2077202
2018-08-28,341.100006,343.600006,336.399994,338.850006,338.850006,543884
2018-08-29,338.000000,342.649994,336.049988,340.649994,340.649994,461604
2018-08-30,339.899994,345.450012,337.700012,344.399994,344.399994,694873
2018-08-31,345.799988,346.899994,338.700012,342.649994,342.649994,664244
2018-09-03,342.700012,345.000000,332.600006,334.049988,334.049988,527960
2018-09-04,335.799988,336.750000,327.049988,328.299988,328.299988,519844
2018-09-05,328.649994,331.350006,325.000000,329.950012,329.950012,513412
2018-09-06,330.600006,331.299988,325.850006,328.450012,328.450012,423318
2018-09-07,328.799988,336.350006,322.799988,335.049988,335.049988,968603
2018-09-10,331.799988,335.700012,328.000000,333.049988,333.049988,1531813
2018-09-11,333.649994,336.700012,325.149994,326.600006,326.600006,513652
2018-09-12,326.600006,327.700012,318.500000,323.100006,323.100006,617655
2018-09-14,326.200012,329.250000,324.250000,328.149994,328.149994,539726
2018-09-17,328.000000,328.000000,321.549988,325.450012,325.450012,498702
2018-09-18,324.899994,327.850006,317.700012,318.700012,318.700012,361416
2018-09-19,319.000000,324.700012,316.850006,320.850006,320.850006,1931863
2018-09-21,323.899994,333.399994,302.799988,317.799988,317.799988,1558598
2018-09-24,318.000000,318.000000,305.750000,308.750000,308.750000,798402
2018-09-25,307.899994,313.750000,300.299988,310.149994,310.149994,1761836
2018-09-26,315.000000,315.000000,305.250000,312.500000,312.500000,815265
2018-09-27,315.000000,316.149994,305.049988,306.649994,306.649994,1788349
2018-09-28,307.000000,311.250000,301.700012,305.000000,305.000000,685280
2018-10-01,305.299988,315.549988,300.500000,314.149994,314.149994,1011967
2018-10-03,312.000000,314.299988,302.649994,303.600006,303.600006,903873
2018-10-04,300.000000,320.899994,294.799988,315.950012,315.950012,3662753
2018-10-05,316.500000,321.100006,298.799988,306.600006,306.600006,2341786
2018-10-08,306.600006,313.500000,298.500000,310.750000,310.750000,1605247
2018-10-09,312.899994,312.899994,303.399994,306.100006,306.100006,940477
2018-10-10,307.899994,322.600006,305.000000,318.899994,318.899994,987426
